epoch,train_loss,val_mae_cm,val_rmse_cm,val_mape_percent,val_bias_cm,val_r2,val_n
1,32.041870814375855,29.63732215499249,30.082717109713688,87.25459179947997,-29.63732215499249,-33.10807988942385,3639
2,26.633653918488772,22.338771533101234,23.015349938250093,65.11665254331331,-22.338771533101234,-18.964494444760266,3639
3,18.74399373223133,12.960758882487466,14.121105428726993,36.8848590093004,-12.956088345992299,-6.515546099829734,3639
4,9.090823765141117,4.99268609739064,6.022961840000906,14.088485822977557,-4.7263906384012335,-0.36723565440069383,3639
5,3.313883369603093,2.6624983934033994,3.4173523035959867,7.7574885930321305,-1.1196988067249571,0.5598480204999198,3639
6,2.6706634007095404,2.275244199433606,2.922520061214723,6.774411243189114,-0.21374120657245482,0.6780872678327858,3639
7,2.4767198265041674,2.3721310834892506,3.064394910383736,6.892542962234116,-1.0825659837589123,0.6460738785936873,3639
8,2.3716817761246904,2.4123897882698984,3.0975563944848545,6.9786244031824705,-1.13826080599012,0.6383723776553907,3639
9,2.310329081753565,2.4774405654232132,3.185873822411675,7.162361240971283,-1.338535683598614,0.6174569686904008,3639
10,2.271564621982036,2.581062420674424,3.294180292491473,7.374570805542412,-1.7032880424044556,0.5910051104666201,3639
11,2.17191653797212,2.486560716180888,3.187722804871735,7.150307435471266,-1.5503457303425872,0.6170128075926881,3639
12,2.1706589720755773,2.2852668217100525,2.9763876568682943,6.617372753442792,-1.0251561715465942,0.6661109766726614,3639
13,2.1613578472236643,2.3249013837335792,3.04169556418561,6.661463131975161,-1.2768279240989004,0.651297837303406,3639
14,2.095600454272345,2.3144913149522077,3.007689943306512,6.678665608210857,-1.097053230120016,0.6590511111271036,3639
15,2.051782229680009,2.1520945865330248,2.7959112270872546,6.336151834824309,-0.47660603147183317,0.7053747879423086,3639
16,1.9887907336760773,2.344501145235226,3.022867521002153,6.756313847513348,-1.2946501739996743,0.6556013972400513,3639
17,1.980136308414975,2.168003100620321,2.779386279824734,6.337577859412138,-0.8049563596326592,0.7088472002049149,3639
18,1.9652688526292434,2.357377483937137,3.0463350153405773,6.798101764760374,-1.093244473991174,0.6502332860294439,3639
19,1.9228815917274396,2.463778131248598,3.1492871604158457,7.08079165605384,-1.4345696798619676,0.6261927870531767,3639
20,1.9092273496058154,2.1540389688632815,2.758382621103789,6.27974671513479,-0.8731314204950587,0.713231022420308,3639
21,1.874460256117414,2.4268860713437745,3.119075527616703,6.992475029466892,-1.3713960896549922,0.6333303749002483,3639
22,1.8561329021496369,2.390804546028089,3.0358016027743235,6.900774088088631,-1.4206916130843743,0.6526479039410675,3639
23,1.8583463244416916,2.1271044072557133,2.762981377830158,6.253618246301529,-0.548158055447261,0.7122740267623333,3639
24,1.837683689186867,2.0755692031495547,2.6782715492056584,6.116083518030719,-0.30984668674033955,0.729646268699239,3639
25,1.8582491206910245,2.0565018366902503,2.6633765076500477,6.04373282757531,-0.5189818853727898,0.732645017875664,3639
26,1.7830459132768424,2.4750568487382782,3.179502528621823,7.098471664884657,-1.5051923176848518,0.6189855018684398,3639
27,1.7438422046479995,2.2322358338182267,2.873408427665079,6.44514197840311,-1.1926826184580175,0.6888155589645648,3639
28,1.7418323059138714,2.0946958431276395,2.7323310219962327,6.105911303306523,-0.8444533241944969,0.7186222334652295,3639
29,1.7528862551098239,2.2671277574799684,2.896987775486811,6.539812142402779,-1.3388970043017794,0.6836874106840035,3639
30,1.7201815129743465,2.039194688327891,2.6394333605742144,5.973384998492671,-0.6119895027246604,0.7374303318848671,3639
31,1.711637342135584,2.216301176632522,2.8668315836064178,6.4576298475577305,-0.981981049988682,0.6902384470675565,3639
32,1.68190230072696,2.071951820811717,2.6517748345354875,6.044772783191513,-0.9107050433136599,0.7349691424986163,3639
33,1.6965359128779147,2.1169611345643884,2.719025916002466,6.145048287355612,-1.011472563653177,0.7213559036114137,3639
34,1.6826793121901877,2.5316210456129022,3.2055867358915737,7.2034881055413615,-1.9168776480435474,0.6127082758272808,3639
35,1.6674537936787373,2.0442544256274795,2.624305324204975,5.989766151563961,-0.7865574630481524,0.740431567094664,3639
36,1.655890006190069,2.1706428344382727,2.78251844826108,6.306019557404502,-0.960928384666097,0.7081906139207622,3639
37,1.6002491861360388,1.9985420104401816,2.557684172412856,5.928457355959281,-0.5099232221049377,0.7534432004536862,3639
38,1.6227455192299514,2.2814588088129666,2.9207718794911126,6.587918076642809,-1.3055337500722894,0.6784722736687121,3639
39,1.614221439496192,2.0305922357025104,2.62713901949074,5.979976291277867,-0.5725094165471794,0.7398707063208788,3639
40,1.6011865755424102,2.00463818494813,2.5994015053185353,5.873532809508395,-0.7198094349373956,0.7453346348677455,3639
41,1.5701941678640925,2.118835805634543,2.733018994259586,6.195355988546063,-0.8688385867260091,0.7184805196918542,3639
42,1.5595319389765543,2.012500052728572,2.5965732963221053,5.8962318957861655,-0.7686089848253418,0.7458884970184274,3639
43,1.5595217386999598,2.5126095672464857,3.1629737271880223,7.195402143856562,-1.852000158676311,0.6229366504773683,3639
44,1.5519175533022604,2.2559971008762023,2.9185997210836327,6.47368990093104,-1.4435731379924879,0.6789503318544915,3639
45,1.5801322174993349,2.048167784550125,2.625840281875125,5.975836137350557,-0.8646114498221242,0.7401278348472762,3639
